--,prolific_id,study_id,session_id,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,main_start_keys_3.keys,main_start_keys_3.rt,main_start_keys_3.duration,trial_score_pract,total_score_pract,treshold_pract,trial_duration_pract,nr_of_incr_pract,threshold_reached,time_sequence,mintime_sequence_all,mintime_pract at t,rtArray,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,practicetrials.ran,practPumps,effTresh,pract_img_keys.keys,pract_img_keys.rt,pract_img_keys.duration,reactionTimes_pract2,reactionTimesData_pract2,averageReactionTimesData_pract2,rtPercentageData_pract2,maxTime_pract2,minTime_pract2,maxPosBar_pract2,minPosBar_pract2,Accum points 2nd practice,percentage of bar reached_pract2,achieved_pract2,effLevel_pract2,practicetrials_2.thisRepN,practicetrials_2.thisTrialN,practicetrials_2.thisN,practicetrials_2.thisIndex,practicetrials_2.ran,Points,FeedbackText1,FeedbackText2,stimFile,effLevel,quiz_info_keys.keys,quiz_info_keys.rt,quiz_info_keys.duration,quizinfo.thisRepN,quizinfo.thisTrialN,quizinfo.thisN,quizinfo.thisIndex,quizinfo.ran,correct,response,quiz_score,next_quest.keys,next_quest.rt,next_quest.duration,instructionquiz.thisRepN,instructionquiz.thisTrialN,instructionquiz.thisN,instructionquiz.thisIndex,instructionquiz.ran,correctResp,question,resp1,resp2,resp3,main_start_keys.keys,main_start_keys.rt,main_start_keys.duration,rewRating,AnchorRewRating,AccuracyRewardRating,PossiblePointsSoFar,AccumulatedPointsSoFar,reward.response,reward.rt,login_reward.keys,login_reward.rt,login_reward.duration,effRating,AnchorEffRating,AccuracyEffortRating,slider.response,slider.rt,reactionTimes,reactionTimesData,averageReactionTimesData,rtPercentageData,maxTime,minTime,maxPosBar,minPosBar,Accum points main trials,percentage of bar reached,minimum RT on current trial,achieved,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,end_break.keys,end_break.rt,end_break.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,BlockNumber,TrialFile,TotalBlockNumber,bonusPayment,task_duration,end_key.keys,end_key.rt,end_key.duration,end.thisRepN,end.thisTrialN,end.thisN,end.thisIndex,end.ran
Please be patient as the study loads,6547bf8012d4702680d55663,66d895541319693e0a3a3141,66db1c8970bf01cc20c4fece,2024-09-06_10h30.03.678,RewardEffortLearning_pilot7b,2023.1.3,Win32,2.406738869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,6547bf8012d4702680d55663,66d895541319693e0a3a3141,66db1c8970bf01cc20c4fece,2024-09-06_10h30.03.678,RewardEffortLearning_pilot7b,2023.1.3,Win32,2.406738869,return,9.8891,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,6547bf8012d4702680d55663,66d895541319693e0a3a3141,66db1c8970bf01cc20c4fece,2024-09-06_10h30.03.678,RewardEffortLearning_pilot7b,2023.1.3,Win32,2.406738869,,,,"[""return""]",[10.813300000190793],[0.00039999985688154993],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,6547bf8012d4702680d55663,66d895541319693e0a3a3141,66db1c8970bf01cc20c4fece,2024-09-06_10h30.03.678,RewardEffortLearning_pilot7b,2023.1.3,Win32,2.406738869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,6547bf8012d4702680d55663,66d895541319693e0a3a3141,66db1c8970bf01cc20c4fece,2024-09-06_10h30.03.678,RewardEffortLearning_pilot7b,2023.1.3,Win32,2.406738869,,,,,,,,0,-0.36,16.4733,4,FALSE,"[[0.7602000000476892,3.06220000004771,1.6470999999046398,0.7590999999046062]]",[0.7590999999046062],0.7591,"[0.7602000000476892,3.06220000004771,1.6470999999046398,0.7590999999046062]",0,0,0,0,1,25,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,6547bf8012d4702680d55663,66d895541319693e0a3a3141,66db1c8970bf01cc20c4fece,2024-09-06_10h30.03.678,RewardEffortLearning_pilot7b,2023.1.3,Win32,2.406738869,,,,,,,,0,-0.22,10.2904,2,FALSE,"[[2.279200000047581,1.50129999995238]]","[0.7590999999046062,1.50129999995238]",0.7591,"[2.279200000047581,1.50129999995238]",0,1,1,1,1,50,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,6547bf8012d4702680d55663,66d895541319693e0a3a3141,66db1c8970bf01cc20c4fece,2024-09-06_10h30.03.678,RewardEffortLearning_pilot7b,2023.1.3,Win32,2.406738869,,,,,,,,0,0.05,11.5683,5,FALSE,"[[2.4068999998569325,0.7395999999046126,0.8907000000476728,1.5157999999522644,0.7462000000477929]]","[0.7590999999046062,1.50129999995238,0.7395999999046126]",0.7396,"[2.4068999998569325,0.7395999999046126,0.8907000000476728,1.5157999999522644,0.7462000000477929]",0,2,2,2,1,100,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,6547bf8012d4702680d55663,66d895541319693e0a3a3141,66db1c8970bf01cc20c4fece,2024-09-06_10h30.03.678,RewardEffortLearning_pilot7b,2023.1.3,Win32,2.406738869,,,,,,,,,,,,,,,,,,,,,,,,"[""return""]",[3.3521000001429684],[0.0004999999999881766],"[{""time"":352.12270000004776,""reactionTime"":1},{""time"":353.3842999999524,""reactionTime"":1},{""time"":354.1265000000001,""reactionTime"":1},{""time"":354.85870000004775,""reactionTime"":1},{""time"":355.5737000000478,""reactionTime"":1},{""time"":356.3360999999047,""reactionTime"":1},{""time"":357.22379999995235,""reactionTime"":1},{""time"":357.97870000004775,""reactionTime"":1},{""time"":358.7225999999047,""reactionTime"":1},{""time"":359.4437999999524,""reactionTime"":1},{""time"":360.18489999985695,""reactionTime"":1},{""time"":360.9185999999047,""reactionTime"":1},{""time"":361.75179999995237,""reactionTime"":1},{""time"":363.2700999999047,""reactionTime"":1},{""time"":364.0090999999047,""reactionTime"":1.541200000047752},{""time"":365.46870000004776,""reactionTime"":0.726300000190804},{""time"":367.06059999990464,""reactionTime"":0.7394999999999072},{""time"":367.8082999999524,""reactionTime"":1},{""time"":368.5490000000001,""reactionTime"":1},{""time"":369.409899999857,""reactionTime"":1},{""time"":370.1402999999524,""reactionTime"":1},{""time"":370.88189999985696,""reactionTime"":1},{""time"":372.37339999985704,""reactionTime"":0.7468999998569643},{""time"":373.12700000000007,""reactionTime"":1}]","[1.541200000047752,0.726300000190804,0.7394999999999072,0.7468999998569643]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.541200000047752,0.726300000190804,0.7394999999999072,1,1,1,1,1,0.7468999998569643,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,97.19662060304236,0]",1,0.7396,0.05,-0.5,0,12.9215922,FALSE,75,0,0,0,0,1,1,"You reached the planet, you get 1 ruby!",You did not have enough fuel to reach the planet and missed 1 ruby!,stim/image1.png,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,6547bf8012d4702680d55663,66d895541319693e0a3a3141,66db1c8970bf01cc20c4fece,2024-09-06_10h30.03.678,RewardEffortLearning_pilot7b,2023.1.3,Win32,2.406738869,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""time"":380.4227000000477,""reactionTime"":1},{""time"":381.1485,""reactionTime"":1},{""time"":381.8742999999523,""reactionTime"":1},{""time"":383.34870000004776,""reactionTime"":1},{""time"":384.2357999999524,""reactionTime"":1},{""time"":385.00320000004774,""reactionTime"":1},{""time"":385.7365999999047,""reactionTime"":1},{""time"":386.4662000000477,""reactionTime"":3.855000000000018},{""time"":387.98300000000006,""reactionTime"":0.7427999999523536},{""time"":388.71370000004777,""reactionTime"":1},{""time"":389.4512000000477,""reactionTime"":1},{""time"":391.028899999857,""reactionTime"":1},{""time"":391.77639999985695,""reactionTime"":1.4855999999045935},{""time"":393.26259999990464,""reactionTime"":1}]","[3.855000000000018,0.7427999999523536,1.4855999999045935]","[1,1,1,1,1,1,1,3.855000000000018,0.7427999999523536,1,1,1,1.4855999999045935,1]","[0,0,0,0,0,0,93.97150172705436,0,0,0,0,0]",1,0.7263,0.05,-0.5,0,7.830958477,FALSE,75,0,1,1,1,1,0,"You reached the planet, but there were no rubies!",You did not have enough fuel to reach the planet and missed 0 rubies!,stim/None.png,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,6547bf8012d4702680d55663,66d895541319693e0a3a3141,66db1c8970bf01cc20c4fece,2024-09-06_10h30.03.678,RewardEffortLearning_pilot7b,2023.1.3,Win32,2.406738869,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""time"":400.8307000000477,""reactionTime"":1},{""time"":401.68020000004776,""reactionTime"":1},{""time"":403.1490999999047,""reactionTime"":1},{""time"":403.9047000000477,""reactionTime"":1.4856000001429948},{""time"":405.4390000000001,""reactionTime"":0.7616000001430621},{""time"":406.9127999999523,""reactionTime"":1},{""time"":407.6497000000477,""reactionTime"":1.4661000001430011},{""time"":408.3987000000477,""reactionTime"":1},{""time"":409.8845,""reactionTime"":0.7497999999523017},{""time"":410.74339999985705,""reactionTime"":1},{""time"":411.4715999999047,""reactionTime"":1},{""time"":412.96809999990467,""reactionTime"":1}]","[1.4856000001429948,0.7616000001430621,1.4661000001430011,0.7497999999523017]","[1,1,1,1.4856000001429948,0.7616000001430621,1,1.4661000001430011,1,0.7497999999523017,1,1,1]","[0,0,87.10266716227011,0,0,0,91.41395696825711,0,0,0]",1,0.7263,0.05,-0.5,0,17.85166241,FALSE,25,0,2,2,2,1,3,"You reached the planet, you get 3 rubies!",You did not have enough fuel to reach the planet and missed 3 rubies!,stim/image3.png,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
