--,prolific_id,study_id,session_id,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,main_start_keys_3.keys,main_start_keys_3.rt,main_start_keys_3.duration,trial_score_pract,total_score_pract,treshold_pract,trial_duration_pract,nr_of_incr_pract,threshold_reached,time_sequence,mintime_sequence_all,mintime_pract at t,rtArray,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,practicetrials.ran,practPumps,effTresh,pract_img_keys.keys,pract_img_keys.rt,pract_img_keys.duration,reactionTimes_pract2,reactionTimesData_pract2,averageReactionTimesData_pract2,rtPercentageData_pract2,maxTime_pract2,minTime_pract2,maxPosBar_pract2,minPosBar_pract2,Accum points 2nd practice,percentage of bar reached_pract2,achieved_pract2,effLevel_pract2,practicetrials_2.thisRepN,practicetrials_2.thisTrialN,practicetrials_2.thisN,practicetrials_2.thisIndex,practicetrials_2.ran,Points,FeedbackText1,FeedbackText2,stimFile,effLevel,quiz_info_keys.keys,quiz_info_keys.rt,quiz_info_keys.duration,quizinfo.thisRepN,quizinfo.thisTrialN,quizinfo.thisN,quizinfo.thisIndex,quizinfo.ran,correct,response,quiz_score,next_quest.keys,next_quest.rt,next_quest.duration,instructionquiz.thisRepN,instructionquiz.thisTrialN,instructionquiz.thisN,instructionquiz.thisIndex,instructionquiz.ran,correctResp,question,resp1,resp2,resp3,main_start_keys.keys,main_start_keys.rt,main_start_keys.duration,rewRating,AnchorRewRating,AccuracyRewardRating,PossiblePointsSoFar,AccumulatedPointsSoFar,reward.response,reward.rt,login_reward.keys,login_reward.rt,login_reward.duration,effRating,AnchorEffRating,AccuracyEffortRating,slider.response,slider.rt,reactionTimes,reactionTimesData,averageReactionTimesData,rtPercentageData,maxTime,minTime,maxPosBar,minPosBar,Accum points main trials,percentage of bar reached,minimum RT on current trial,achieved,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,end_break.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,BlockNumber,TrialFile,TotalBlockNumber,bonusPayment,task_duration,end_key.keys,end_key.rt,end_key.duration,end.thisRepN,end.thisTrialN,end.thisN,end.thisIndex,end.ran
Please be patient as the study loads,66706a23c37c6099480f039d,66d895541319693e0a3a3141,66db1c8504a9fa4fe9ead5e6,2024-09-06_11h17.32.305,RewardEffortLearning_pilot7b,2023.1.3,Win32,6.540222368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,66706a23c37c6099480f039d,66d895541319693e0a3a3141,66db1c8504a9fa4fe9ead5e6,2024-09-06_11h17.32.305,RewardEffortLearning_pilot7b,2023.1.3,Win32,6.540222368,return,32.8982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,66706a23c37c6099480f039d,66d895541319693e0a3a3141,66db1c8504a9fa4fe9ead5e6,2024-09-06_11h17.32.305,RewardEffortLearning_pilot7b,2023.1.3,Win32,6.540222368,,,,"[""return""]",[32.62050000000001],[null],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,66706a23c37c6099480f039d,66d895541319693e0a3a3141,66db1c8504a9fa4fe9ead5e6,2024-09-06_11h17.32.305,RewardEffortLearning_pilot7b,2023.1.3,Win32,6.540222368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,66706a23c37c6099480f039d,66d895541319693e0a3a3141,66db1c8504a9fa4fe9ead5e6,2024-09-06_11h17.32.305,RewardEffortLearning_pilot7b,2023.1.3,Win32,6.540222368,,,,,,,,0,-0.36,11.7445,13,FALSE,"[[0.4512000000476917,0.24770000004767212,0.21879999995232424,0.20290000009535447,0.24420000004769804,0.3942000000476753,0.19629999995231628,0.3976000001430293,0.4227000000476835,0.3958999998569368,0.6162999999523038,0.39530000019072986,0.587700000047704]]",[0.19629999995231628],0.1963,"[0.4512000000476917,0.24770000004767212,0.21879999995232424,0.20290000009535447,0.24420000004769804,0.3942000000476753,0.19629999995231628,0.3976000001430293,0.4227000000476835,0.3958999998569368,0.6162999999523038,0.39530000019072986,0.587700000047704]",0,0,0,0,1,25,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,66706a23c37c6099480f039d,66d895541319693e0a3a3141,66db1c8504a9fa4fe9ead5e6,2024-09-06_11h17.32.305,RewardEffortLearning_pilot7b,2023.1.3,Win32,6.540222368,,,,,,,,0,-0.22,10.5851,5,FALSE,"[[2.632700000047663,1.3992999999523192,0.7896999998092724,0.9989999999999952,1.0142999999523]]","[0.19629999995231628,0.7896999998092724]",0.1963,"[2.632700000047663,1.3992999999523192,0.7896999998092724,0.9989999999999952,1.0142999999523]",0,1,1,1,1,50,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,66706a23c37c6099480f039d,66d895541319693e0a3a3141,66db1c8504a9fa4fe9ead5e6,2024-09-06_11h17.32.305,RewardEffortLearning_pilot7b,2023.1.3,Win32,6.540222368,,,,,,,,0,0.05,10.8498,19,FALSE,"[[0.19350000000000023,0.1982999999522974,0.21219999980928606,0.407900000095367,0.41059999990463325,0.20459999990461597,0.39570000004766825,0.20990000009535947,0.2032000000476728,0.1956999998092499,0.1945999999046535,0.3925000000000125,0.20270000004768463,0.39129999995230946,0.19419999980925695,0.20820000004769668,0.4263999998569261,0.20790000009537835,0.19639999985693635]]","[0.19629999995231628,0.7896999998092724,0.19350000000000023]",0.1935,"[0.19350000000000023,0.1982999999522974,0.21219999980928606,0.407900000095367,0.41059999990463325,0.20459999990461597,0.39570000004766825,0.20990000009535947,0.2032000000476728,0.1956999998092499,0.1945999999046535,0.3925000000000125,0.20270000004768463,0.39129999995230946,0.19419999980925695,0.20820000004769668,0.4263999998569261,0.20790000009537835,0.19639999985693635]",0,2,2,2,1,100,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,66706a23c37c6099480f039d,66d895541319693e0a3a3141,66db1c8504a9fa4fe9ead5e6,2024-09-06_11h17.32.305,RewardEffortLearning_pilot7b,2023.1.3,Win32,6.540222368,,,,,,,,,,,,,,,,,,,,,,,,"[""return""]",[33.033299999952305],[0.00029999995228990883],"[{""time"":388.7557000000477,""reactionTime"":1},{""time"":389.4917000000477,""reactionTime"":1},{""time"":390.14160000014306,""reactionTime"":1},{""time"":390.842600000143,""reactionTime"":1},{""time"":391.47190000009533,""reactionTime"":1},{""time"":392.5662000000477,""reactionTime"":0.43859999990462484},{""time"":393.4603000001907,""reactionTime"":0.681100000143033},{""time"":394.33370000004766,""reactionTime"":0.4092000000476901},{""time"":395.16390000009534,""reactionTime"":0.6022000000476737},{""time"":395.76620000004766,""reactionTime"":0.406799999952284},{""time"":396.6003000001907,""reactionTime"":0.4092000000476901},{""time"":397.3972000000477,""reactionTime"":0.5868999998569393},{""time"":398.1767000000477,""reactionTime"":1},{""time"":398.78440000009533,""reactionTime"":1},{""time"":399.36590000009534,""reactionTime"":1},{""time"":399.573,""reactionTime"":1.978999999999985},{""time"":400.16790000009536,""reactionTime"":1},{""time"":401.23810000014305,""reactionTime"":0.4387000000476746},{""time"":401.88710000014305,""reactionTime"":0.19260000014304524}]","[0.43859999990462484,0.681100000143033,0.4092000000476901,0.6022000000476737,0.406799999952284,0.4092000000476901,0.5868999998569393,1.978999999999985,0.4387000000476746,0.19260000014304524]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.43859999990462484,0.43859999990462484,0.43859999990462484,0.681100000143033,0.681100000143033,0.681100000143033,0.4092000000476901,0.4092000000476901,0.4092000000476901,0.6022000000476737,0.6022000000476737,0.6022000000476737,0.406799999952284,0.406799999952284,0.406799999952284,0.4092000000476901,0.4092000000476901,0.4092000000476901,0.5868999998569393,0.5868999998569393,0.5868999998569393,1,1,1,1,1,1,1,1.4894999999999925,1.4894999999999925,1.978999999999985,1,1,1,0.4387000000476746,0.4387000000476746,0.4387000000476746,0.19260000014304524,0.19260000014304524,0.19260000014304524]","[0,0,0,0,0,0,0,0,0,0,69.60942344641975,69.60942344641975,69.60942344641975,39.54122750861341,39.54122750861341,39.54122750861341,73.2548047058041,73.2548047058041,73.2548047058041,49.324240539656095,49.324240539656095,49.324240539656095,73.55238686270505,73.55238686270505,73.55238686270505,73.2548047058041,73.2548047058041,73.2548047058041,51.221326738135254,51.221326738135254,51.221326738135254,0,0,0,0,0,0,0,0,0,0,0,0,0,69.597024172638,69.597024172638,69.597024172638,100,100,100]",1,0.1935,0.05,-0.5,0,35.96131432,FALSE,75,0,0,0,0,1,1,"You reached the planet, you get 1 ruby!",You did not have enough fuel to reach the planet and missed 1 ruby!,stim/image1.png,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,66706a23c37c6099480f039d,66d895541319693e0a3a3141,66db1c8504a9fa4fe9ead5e6,2024-09-06_11h17.32.305,RewardEffortLearning_pilot7b,2023.1.3,Win32,6.540222368,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""time"":410.22540000009536,""reactionTime"":1},{""time"":410.8392000000477,""reactionTime"":1},{""time"":411.457,""reactionTime"":1},{""time"":412.0419000000954,""reactionTime"":1},{""time"":413.037600000143,""reactionTime"":1},{""time"":413.4547000000477,""reactionTime"":1.0097999999523495},{""time"":414.24720000004766,""reactionTime"":0.19120000004767235},{""time"":414.84,""reactionTime"":0.19559999990462984},{""time"":415.6395,""reactionTime"":0.19600000000002638},{""time"":416.2269000000954,""reactionTime"":1},{""time"":417.0324000000954,""reactionTime"":1},{""time"":417.6214000000954,""reactionTime"":1},{""time"":417.81990000009534,""reactionTime"":1.37529999995229},{""time"":418.3985,""reactionTime"":1},{""time"":418.79610000014304,""reactionTime"":0.20270000004768463},{""time"":419.4275,""reactionTime"":0.22059999990466395},{""time"":420.0265,""reactionTime"":1},{""time"":420.64660000014305,""reactionTime"":0.19690000009535424},{""time"":421.25560000014303,""reactionTime"":1},{""time"":421.8537000000477,""reactionTime"":0.19670000004771282},{""time"":422.45030000019074,""reactionTime"":1}]","[1.0097999999523495,0.19120000004767235,0.19559999990462984,0.19600000000002638,1.37529999995229,0.20270000004768463,0.22059999990466395,0.19690000009535424,0.19670000004771282]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0048999999761747,1.0097999999523495,1.0097999999523495,0.19120000004767235,0.19120000004767235,0.19120000004767235,0.19559999990462984,0.19559999990462984,0.19559999990462984,0.19600000000002638,0.19600000000002638,0.19600000000002638,1,1,1,1,1,1,1,1.187649999976145,1.187649999976145,1.37529999995229,1,1,0.6013500000238423,0.20270000004768463,0.20270000004768463,0.22059999990466395,0.22059999990466395,0.22059999990466395,1,1,1,0.19690000009535424,0.19690000009535424,0.19690000009535424,1,1,1,0.19670000004771282,0.19670000004771282,0.19670000004771282,1]","[0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,99.62843698760018,99.62843698760018,99.62843698760018,99.5788952368611,99.5788952368611,99.5788952368611,0,0,0,0,0,0,0,0,0,0,0,0,49.374535551992274,98.74907110398455,98.74907110398455,96.53207830485763,96.53207830485763,96.53207830485763,0,0,0,99.46742631247575,99.46742631247575,99.46742631247575,0,0,0,99.49219718783824,99.49219718783824,99.49219718783824,0]",1,0.1926,0.05,-0.5,0,39.05711115,FALSE,75,0,1,1,1,1,0,"You reached the planet, but there were no rubies!",You did not have enough fuel to reach the planet and missed 0 rubies!,stim/None.png,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,66706a23c37c6099480f039d,66d895541319693e0a3a3141,66db1c8504a9fa4fe9ead5e6,2024-09-06_11h17.32.305,RewardEffortLearning_pilot7b,2023.1.3,Win32,6.540222368,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""time"":431.01420000004765,""reactionTime"":1},{""time"":431.534,""reactionTime"":1.1980999999046276},{""time"":432.1768000001907,""reactionTime"":1},{""time"":432.5992000000477,""reactionTime"":0.21609999990465667},{""time"":433.22360000014305,""reactionTime"":0.21279999995232401},{""time"":433.89240000009534,""reactionTime"":1},{""time"":434.50910000014306,""reactionTime"":0.414900000095372},{""time"":435.79520000004766,""reactionTime"":1},{""time"":436.42160000014303,""reactionTime"":1},{""time"":437.03430000019074,""reactionTime"":1},{""time"":437.6435,""reactionTime"":1},{""time"":438.078100000143,""reactionTime"":2.9344000000953656},{""time"":438.72930000019073,""reactionTime"":0.21960000014303205},{""time"":439.39549999999997,""reactionTime"":0.227899999856902},{""time"":440.04680000019073,""reactionTime"":1}]","[1.1980999999046276,0.21609999990465667,0.21279999995232401,0.414900000095372,2.9344000000953656,0.21960000014303205,0.227899999856902]","[1,1,1.1980999999046276,1.1980999999046276,1.1980999999046276,1,1,0.6080499999523283,0.21609999990465667,0.21609999990465667,0.21279999995232401,0.21279999995232401,0.21279999995232401,1,1,1,0.414900000095372,0.414900000095372,0.414900000095372,1,1,1,1,1,1,1,1,1,1,1,1.9672000000476828,2.9344000000953656,2.9344000000953656,0.21960000014303205,0.21960000014303205,0.21960000014303205,0.227899999856902,0.227899999856902,0.227899999856902,1,1,1]","[0,0,0,0,0,48.460682501332094,96.92136500266419,96.92136500266419,97.32937686623086,97.32937686623086,97.32937686623086,0,0,0,72.3417408431151,72.3417408431151,72.3417408431151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.48862511164272,96.48862511164272,96.48862511164272,95.46241347534708,95.46241347534708,95.46241347534708,0,0,0]",1,0.1912,0.05,-0.5,3,33.17924703,TRUE,25,0,2,2,2,1,3,"You reached the planet, you get 3 rubies!",You did not have enough fuel to reach the planet and missed 3 rubies!,stim/image3.png,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
